id,fname,lname,phone,address
367,jack,reyes,(498)218-2744,"8973 river rd, fremont, CA 90005"
368,samuel,cook,(620)959-3518,"6448 washington blvd, fontana, CA 95596"
369,nicholas,foster,(829)456-5118,"1192 oak ave, sacramento, CA 91463"
370,robert,sanchez,(173)109-6789,"9771 lake dr, los angeles, CA 93001"
371,margaret,cox,(103)717-0586,"6146 aspen ct, los angeles, CA 95053"
372,dorothy,ortiz,(014)138-1138,"6413 washington blvd, long beach, CA 94310"
373,katherine,young,(928)861-9576,"1805 pine rd, fresno, CA 94505"
374,edward,cook,(528)975-5855,"6855 magnolia blvd, stockton, CA 95946"
375,kevin,cox,(398)368-4577,"6605 main st, los angeles, CA 92330"
376,emma,williams,(824)043-3504,"9171 meadow ln, modesto, CA 94674"
377,justin,martin,(107)522-4593,"3917 lake dr, anaheim, CA 90752"
378,justin,phillips,(931)572-7919,"5021 oak ave, glendale, CA 93125"
379,william,jimenez,(055)661-3906,"986 hill st, fontana, CA 90337"
380,donna,cooper,(925)832-0679,"9524 meadow ln, san diego, CA 91819"
381,jeff,nguyen,(622)517-9086,"4401 elm st, chula vista, CA 94110"
382,jeff,jimenez,(227)837-6938,"8689 park ave, oakland, CA 90586"
383,dorothy,jimenez,(659)116-6553,"5354 river rd, huntington beach, CA 95369"
384,patricia,foster,(425)979-2703,"3371 willow way, irvine, CA 91277"
385,catherine,sanders,(110)392-4051,"5099 valley rd, moreno valley, CA 90186"
386,michelle,clark,(833)884-8792,"401 sunset blvd, glendale, CA 95435"
387,jonathan,garcia,(420)439-4070,"1191 sunset blvd, bakersfield, CA 95431"
388,katherine,campbell,(104)636-8157,"9882 cherry ln, san diego, CA 91527"
389,anthony,cook,(780)038-4576,"2672 main st, irvine, CA 95605"
390,george,rivera,(438)404-6084,"3795 cedar ln, santa ana, CA 93218"
391,katherine,moore,(168)936-3926,"5218 birch dr, santa ana, CA 93679"
392,stephen,taylor,(329)832-4826,"2478 poplar ave, glendale, CA 91294"
393,donna,rodriguez,(881)252-0566,"5070 valley rd, bakersfield, CA 91244"
394,nancy,wilson,(220)994-9993,"9870 park ave, oakland, CA 95630"
395,patricia,rivera,(172)897-5267,"7863 cedar ln, fresno, CA 91583"
396,margaret,jones,(604)633-3127,"8127 aspen ct, santa ana, CA 93748"
397,steven,diaz,(609)656-9998,"8705 poplar ave, los angeles, CA 94265"
398,susan,edwards,(703)886-0868,"907 washington blvd, anaheim, CA 93600"
399,deborah,hill,(472)649-0827,"7500 elm st, fontana, CA 90927"
400,matthew,jimenez,(982)665-7027,"9771 aspen ct, long beach, CA 93724"
401,barbara,allen,(521)117-5186,"8483 birch dr, fresno, CA 93102"
402,anna,carter,(025)922-2206,"5147 hill st, fremont, CA 92365"
403,helen,white,(123)094-0777,"9004 main st, huntington beach, CA 94042"
404,sandra,ramirez,(977)671-9903,"9067 lake dr, huntington beach, CA 95149"
405,larry,clark,(022)050-2099,"4989 forest rd, san diego, CA 90401"
406,susan,turner,(224)999-8279,"6001 oak ave, san diego, CA 92451"
407,kevin,mitchell,(616)814-7214,"5493 meadow ln, stockton, CA 94297"
408,betty,hughes,(390)198-1794,"7096 birch dr, santa ana, CA 92127"
409,jonathan,kelly,(952)997-8772,"3912 aspen ct, anaheim, CA 91585"
410,james,thomas,(071)396-6055,"9281 poplar ave, long beach, CA 90092"
411,samuel,sanchez,(441)448-8501,"5560 forest rd, chula vista, CA 95934"
412,brenda,ward,(023)557-7027,"2645 poplar ave, fremont, CA 94398"
413,michelle,reyes,(608)495-8803,"9560 willow way, santa ana, CA 92896"
414,david,martin,(405)682-9962,"9851 maple dr, anaheim, CA 95777"
415,donna,price,(046)173-5743,"8703 hill st, fresno, CA 90919"
416,timothy,jones,(317)807-8235,"8021 juniper rd, fontana, CA 92542"
417,kevin,jackson,(182)307-6810,"5195 oak ave, huntington beach, CA 90713"
418,michelle,reyes,(018)409-4353,"3254 hill st, bakersfield, CA 94360"
419,donna,foster,(714)224-1098,"8522 maple dr, long beach, CA 94444"
420,carol,peterson,(542)493-2149,"5649 cherry ln, fremont, CA 90415"
421,thomas,brown,(701)601-6629,"9811 poplar ave, fremont, CA 95048"
422,george,flores,(538)179-2171,"7564 hill st, fremont, CA 93854"
423,donald,lewis,(294)562-5577,"595 elm st, moreno valley, CA 90924"
424,carol,morris,(724)599-2816,"1852 forest rd, modesto, CA 95320"
425,elizabeth,hill,(876)963-9382,"8003 sunset blvd, san diego, CA 92791"
426,betty,ruiz,(966)958-3219,"8072 maple dr, glendale, CA 94883"
427,jacob,adams,(817)246-1919,"6308 forest rd, moreno valley, CA 95283"
428,katherine,davis,(132)902-2784,"6489 birch dr, glendale, CA 93663"
429,anthony,clark,(549)465-1909,"8462 sunset blvd, sacramento, CA 92409"
430,linda,mitchell,(800)851-4036,"9769 sunset blvd, santa ana, CA 95830"
431,melissa,phillips,(668)327-2386,"6002 highland ave, sacramento, CA 92363"
432,gregory,taylor,(201)027-6212,"6913 valley rd, huntington beach, CA 93487"
433,benjamin,white,(786)876-5326,"221 walnut st, moreno valley, CA 95987"
434,sandra,alvarez,(846)895-0097,"6138 maple dr, glendale, CA 93944"
435,debra,hernandez,(284)781-8913,"7840 poplar ave, san diego, CA 95603"
436,samuel,cooper,(949)058-0778,"7787 walnut st, santa ana, CA 93448"
437,george,nguyen,(420)949-4079,"2870 walnut st, los angeles, CA 95376"
438,joshua,patel,(904)712-8144,"2271 birch dr, bakersfield, CA 92254"
439,ashley,johnson,(192)927-5243,"8044 pine rd, fontana, CA 90271"
440,brian,hernandez,(292)766-3723,"9565 juniper rd, irvine, CA 90445"
441,samantha,king,(102)767-4783,"6322 willow way, chula vista, CA 93887"
442,paul,jackson,(860)476-5801,"8804 poplar ave, irvine, CA 93537"
443,nicole,wood,(454)414-9673,"9745 magnolia blvd, long beach, CA 94259"
444,brian,gray,(258)001-0618,"1802 willow way, fremont, CA 92879"
445,margaret,castillo,(443)009-1093,"9920 poplar ave, san francisco, CA 95800"
446,jessica,lopez,(926)921-2447,"1340 poplar ave, fremont, CA 92264"
447,maria,diaz,(542)140-6650,"4330 lake dr, fresno, CA 93609"
448,david,morales,(396)271-2863,"1840 valley rd, bakersfield, CA 90846"
449,robert,martinez,(194)707-2006,"4465 cedar ln, santa ana, CA 93205"
450,justin,smith,(877)661-8306,"7998 maple dr, glendale, CA 94385"
451,george,nelson,(460)158-5174,"3427 pine rd, modesto, CA 90322"
452,ronald,james,(346)157-1732,"684 washington blvd, riverside, CA 95896"
453,scott,walker,(761)847-8700,"5658 oak ave, santa ana, CA 95906"
454,jennifer,phillips,(138)782-9310,"2419 spring st, riverside, CA 93860"
455,benjamin,garcia,(320)204-1792,"9783 elm st, san francisco, CA 90935"
456,nicholas,kim,(931)365-6519,"9043 cedar ln, santa ana, CA 91746"
457,jerry,garcia,(925)114-2625,"9167 pine rd, fremont, CA 91995"
458,pamela,garcia,(219)620-7100,"3039 elm st, glendale, CA 92324"
459,jason,ruiz,(723)248-7632,"716 birch dr, fresno, CA 95875"
460,nicholas,ward,(145)608-3318,"1667 birch dr, irvine, CA 94421"
461,amy,lewis,(734)031-2772,"2717 willow way, los angeles, CA 90442"
462,samantha,campbell,(436)459-7010,"8904 pine rd, fresno, CA 90238"
463,kathleen,rogers,(113)799-5635,"3869 magnolia blvd, san francisco, CA 92671"
464,donald,gonzalez,(363)631-7970,"7241 cedar ln, long beach, CA 94992"
465,laura,thompson,(652)735-4352,"625 aspen ct, glendale, CA 90488"
466,andrew,moore,(177)625-3492,"2884 walnut st, modesto, CA 91881"
467,barbara,evans,(873)977-4063,"4160 forest rd, stockton, CA 94746"
468,margaret,ramos,(290)600-7806,"8801 sunset blvd, moreno valley, CA 95706"
469,richard,edwards,(731)806-3254,"4016 poplar ave, san diego, CA 90130"
470,gary,bennett,(427)990-7726,"3130 river rd, fremont, CA 95766"
471,samuel,smith,(165)804-6498,"9524 washington blvd, san diego, CA 95082"
472,michelle,patel,(085)016-5790,"6089 river rd, fresno, CA 95309"
473,larry,price,(183)253-8179,"3537 magnolia blvd, oakland, CA 92625"
474,george,wright,(864)015-5778,"8729 maple dr, moreno valley, CA 95814"
475,shirley,gray,(847)951-3711,"6500 pine rd, anaheim, CA 90630"
476,susan,perez,(412)723-8046,"8970 cedar ln, moreno valley, CA 92840"
477,jason,cruz,(043)103-8569,"5716 poplar ave, santa ana, CA 93982"
478,scott,bennett,(887)749-2424,"3815 spring st, irvine, CA 92360"
479,maria,miller,(254)729-2842,"2973 aspen ct, sacramento, CA 91320"
480,sandra,anderson,(059)274-5238,"668 willow way, santa ana, CA 92816"
481,charles,mitchell,(782)841-0672,"7604 forest rd, sacramento, CA 90035"
482,janet,cooper,(854)749-2975,"1940 juniper rd, moreno valley, CA 90328"
483,sarah,gray,(814)069-3751,"5447 oak ave, huntington beach, CA 95253"
484,nancy,howard,(834)301-8718,"6562 washington blvd, moreno valley, CA 92603"
485,brandon,cox,(805)626-5650,"4763 river rd, irvine, CA 92523"
486,ryan,bailey,(137)674-2662,"9720 birch dr, san diego, CA 91176"
487,betty,hill,(785)196-1064,"6891 pine rd, modesto, CA 93785"
488,rachel,reed,(232)648-7049,"5079 spring st, modesto, CA 93796"
489,margaret,brown,(024)471-4627,"4109 main st, san francisco, CA 92270"
490,nicholas,rodriguez,(959)796-4715,"8497 juniper rd, glendale, CA 90143"
491,paul,lee,(902)572-5204,"6017 highland ave, irvine, CA 90399"
492,joshua,nguyen,(818)321-9285,"5280 willow way, anaheim, CA 92223"
493,frank,hughes,(518)952-0284,"6211 magnolia blvd, moreno valley, CA 93375"
494,brian,lee,(132)833-8988,"9129 aspen ct, san francisco, CA 93418"
495,laura,martinez,(120)754-5279,"8670 magnolia blvd, santa ana, CA 91410"
496,rachel,hill,(013)223-4232,"1387 highland ave, san francisco, CA 90636"
497,john,jimenez,(760)310-8907,"2048 lake dr, los angeles, CA 90542"
498,emily,bennett,(011)939-3250,"1587 cedar ln, bakersfield, CA 94749"
499,carol,rivera,(289)389-1190,"8764 washington blvd, long beach, CA 92308"
